Year;AC;Province;Judicial District;Population;Proportion of women;Proportion of foreigners;Dependency ratio;Population density;Degree of ageing;Live Births by maternal residence;Marriages;Deaths:;Natural growth;Under 16-year-olds male;Under 16-year-olds female;Total under 16-year-olds;Under 18-year-olds male;Under 18-year-olds female;Total under 18-year-olds
2025;Principado de Asturias;Asturias;Piloña;13081;0,50913538720281;0,049078816604235;0,65540369526702;31,216589380906;0,10116453889866;55;60;190;-135;646;646;1292;733;743;1476
2025;País Vasco;Gipuzkoa;Azpeitia;71745;0,50269705205938;0,080075266569099;0,56154097290238;218,56816704881;0,019964647520575;491;264;653;-162;5642;5275;10917;6529;6100;12629
2025;Galicia;Pontevedra;Vilagarcía de Arousa;56245;0,51961952173527;0,049284380833852;0,5443437671609;492,3406708207;0,060649835540937;267;171;564;-297;3506;3276;6782;4095;3836;7931
2025;Cantabria;Cantabria;San Vicente de la Barquera;20438;0,48600645855759;0,059497015363539;0,63334132502198;16,413823061398;0,015448519527609;91;71;289;-198;1053;1036;2089;1198;1184;2382
2025;Castilla-La Mancha;Guadalajara;Sigüenza;10725;0,45221445221445;0,20904428904429;0,6366549671906;4,0529969582785;0,0041958041958042;43;28;177;-134;575;490;1065;662;565;1227
2025;Comunidad Valenciana;Alicante/Alacant;Benidorm;132968;0,50116569400156;0,39240268335239;0,52348216638596;988,90378396217;0,056224053907707;735;386;1057;-322;8872;8151;17023;10292;9419;19711
2025;Extremadura;Badajoz;Almendralejo;50429;0,50566142497373;0,093775407007872;0,50556799522317;79,334539019313;0,023728905986635;385;167;451;-66;4106;3856;7962;4715;4446;9161
2025;País Vasco;Bizkaia;Getxo;155420;0,51968215158924;0,067751898082615;0,59318524289361;1201,2675872263;0,02057114056535;906;509;1308;-402;10855;10269;21124;12588;11841;24429
2025;Andalucía;Jaen;Baeza;22054;0,50204044617756;0,035911852725129;0,50282793867121;69,815440954525;0,051317221365739;158;84;229;-71;1609;1482;3091;1859;1714;3573
2025;Castilla-La Mancha;Guadalajara;Molina de Aragón;7584;0,45160864978903;0,15110759493671;0,63166953528399;2,1883972263943;0,0048200890764182;35;12;145;-110;363;321;684;417;380;797
2025;Extremadura;Badajoz;Llerena;28168;0,5;0,025596421471173;0,58532192705988;11,110409842393;0,013028969042886;154;82;372;-218;1647;1678;3325;1959;1927;3886
2025;Canarias;Las Palmas;Telde;181573;0,50488233382717;0,058610035633051;0,37840382002171;706,17998623374;0,039857247498251;910;676;1283;-373;11638;11060;22698;13766;13000;26766
2025;La Rioja;La Rioja;Logroño;218434;0,51423771024657;0,12965014603954;0,54668724818909;88,083908007169;0,0024499064117439;1362;752;2120;-758;15845;15074;30919;18406;17418;35824
2025;Principado de Asturias;Asturias;Valdés;24818;0,50741397372875;0,03731162865662;0,72263483029083;29,628833830424;0,055530931850539;96;70;419;-323;1187;1136;2323;1374;1304;2678
2025;Andalucía;Jaen;Andújar;59887;0,50688797234792;0,021523869955082;0,52551137376774;35,681006417162;0,027533104012557;409;205;635;-226;4117;3920;8037;4805;4592;9397
2025;Andalucía;Sevilla;Lebrija;52939;0,50195508037553;0,024632123765088;0,44574924215528;83,323888300197;0,055472650912686;367;227;448;-81;4150;4027;8177;4886;4689;9575
2025;Andalucía;Jaen;La Carolina;32116;0,49713538423216;0,022792377631087;0,53261751371988;20,998672599194;0,024591411688186;217;108;349;-132;2330;2093;4423;2728;2429;5157
2025;Comunidad Valenciana;Alicante/Alacant;Alicante;423925;0,51676829627882;0,20724184702483;0,49639249129891;1584,8255853621;0,066678461205795;2927;1469;3359;-432;31264;29406;60670;36307;34133;70440
2025;Castilla y León;Ávila;Ávila;99586;0,50274134918563;0,11224469302914;0,60193674999196;26,75036742824;0,0023492586410543;603;294;1114;-511;7040;6419;13459;8139;7386;15525
2025;Castilla y León;Ávila;Piedrahíta;10536;0,47361427486712;0,050968109339408;0,76040100250627;5,5651512341175;0,005711073936978;33;22;216;-183;417;358;775;480;436;916
2025;Castilla y León;León;Astorga;32415;0,49723893259294;0,04920561468456;0,74640374979796;13,916078457032;0,013328349885499;116;77;559;-443;1414;1394;2808;1628;1628;3256
2025;Canarias;Las Palmas;Santa María de Guía de Gran Canaria;60639;0,4984910701034;0,055146028133709;0,42733735053197;198,43254270978;0,040647108296641;258;208;561;-303;3320;3047;6367;3982;3587;7569
2025;Aragón;Zaragoza;La Almunia de Doña Godina;40666;0,47014705159101;0,24098755717307;0,50025824540692;22,39736500911;0,0053400357728039;267;114;443;-176;2940;2806;5746;3390;3186;6576
2025;Extremadura;Badajoz;Villanueva de la Serena;43548;0,50808303481216;0,045535960319647;0,55273479284033;38,766535241618;0,023080279232112;275;120;488;-213;2977;2948;5925;3440;3393;6833
2025;Castilla y León;Segovia;Cuéllar;20303;0,48776042949318;0,19760626508398;0,58790865008603;18,086338547064;0,0085876392015799;112;58;252;-140;1171;1096;2267;1313;1257;2570
2025;Galicia;Pontevedra;Cangas;51874;0,50931102286309;0,027740293788796;0,54189578812829;471,41037595532;0,080894732107286;248;162;527;-279;3229;2972;6201;3766;3469;7235
2025;Principado de Asturias;Asturias;Llanes;18822;0,50924450111572;0,0631176283073;0,63498957609451;26,381666803768;0,058920412283498;84;57;284;-200;969;928;1897;1126;1091;2217
2025;Castilla y León;Zamora;Toro;16684;0,49346679453368;0,075761208343323;0,69604554234014;14,594760304583;0,012603046677609;70;40;273;-203;766;732;1498;893;844;1737
2025;País Vasco;Gipuzkoa;Tolosa;109048;0,49986244589539;0,12001137113931;0,56930693069307;173,29010976594;0,0047246420471485;733;386;988;-255;8542;8152;16694;9992;9454;19446
2025;País Vasco;Gipuzkoa;Eibar;55659;0,5075189996227;0,11067392515137;0,61700705964382;306,64426002631;0,041933919042742;314;188;563;-249;4018;3832;7850;4676;4426;9102
2025;Aragón;Huesca;Monzón;43550;0,47793340987371;0,19099885189437;0,55691405691406;30,303451996432;0,0082587064676617;309;162;518;-209;3301;3026;6327;3814;3435;7249
2025;Galicia;Pontevedra;Caldas de Reis;35171;0,51306474083762;0,027721702539024;0,59231256791018;97,475196114811;0,033351340593102;168;120;434;-266;2094;1929;4023;2435;2247;4682
2025;Galicia;Pontevedra;Vigo;341366;0,52576999466848;0,070874076504397;0,5552619469591;1350,2867692958;0,061249509324303;1687;1241;3455;-1768;21348;20258;41606;24789;23568;48357
2025;Cantabria;Cantabria;Castro-Urdiales;36129;0,50361205679648;0,098646516648676;0,43991869594675;185,06812891649;0,061049756889664;165;146;278;-113;2485;2376;4861;2927;2838;5765
2025;Andalucía;Huelva;Ayamonte;99406;0,49021185843913;0,17551254451442;0,42748826055114;126,26190668491;0,022324033329405;735;343;686;49;7918;7486;15404;9217;8627;17844
2025;Castilla-La Mancha;Albacete;La Roda;30846;0,49063087596447;0,12202554626208;0,544694276128;25,472773406877;0,027414413538222;201;105;296;-95;2277;2180;4457;2607;2470;5077
2025;Aragón;Huesca;Fraga;26797;0,47210508639027;0,24603500391835;0,53300915331808;17,715970327729;0,013441336716797;198;70;296;-98;1937;1859;3796;2251;2109;4360
2025;Cataluña;Lleida;Lleida;257619;0,48819380558111;0,22570540216366;0,49428374216226;118,04605991164;0,0029398213879949;1864;819;2200;-336;20137;18916;39053;23303;21833;45136
2025;Andalucía;Almería;Almería;335577;0,49634808106634;0,16905211024593;0,47736257737314;94,061075610804;0,0034780269009298;2872;1115;2596;276;29058;27274;56332;33183;31232;64415
2025;Comunidad Valenciana;Alicante/Alacant;Elda;89589;0,50833249617699;0,085892241234973;0,52866600689349;597,73820150612;0,10656442197145;584;290;741;-157;6710;6180;12890;7732;7195;14927
2025;Principado de Asturias;Asturias;Castropol;17260;0,51239860950174;0,048551564310545;0,69781625024592;21,380437995886;0,029637627725693;60;51;288;-228;802;795;1597;919;915;1834
2025;Castilla-La Mancha;Albacete;Villarrobledo;33658;0,49970289381425;0,1150395151227;0,49817502003027;18,297263848153;0,050782874799453;233;80;340;-107;2443;2280;4723;2823;2649;5472
2025;Aragón;Zaragoza;Daroca;11557;0,46378818032361;0,21320411871593;0,61095623083357;7,5994397242273;0,0061961318380353;49;33;174;-125;603;573;1176;702;657;1359
2025;País Vasco;Araba/Álava;Vitoria-Gasteiz;305064;0,50780819762411;0,12077465712113;0,55969569307538;130,5566964565;0,0051374465685889;1895;987;2660;-765;22563;21137;43700;25916;24199;50115
